"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL251C",7274.62003137689,1.88559611128501,0.175374150978739,10.7518474117295,5.8086394938857e-27,4.0503643190865e-25
"YHR157W",280.062652648874,1.80805917104992,0.168400213190235,10.7366798224147,6.84623719008736e-27,4.72661504222566e-25
"YHR092C",15078.2637522958,1.7570787859344,0.163954518111748,10.7168671298025,8.48280939567459e-27,5.79908136431754e-25
"YLR171W",97.1513461365785,3.43633367765876,0.322349320795264,10.6602789457754,1.56128460692924e-26,1.05697452078811e-24
"YHR156C",565.194093394459,-1.52485998726376,0.143179299069439,-10.6500031580979,1.74359143111974e-26,1.16904452396134e-24
"YGR069W",121.197316982235,2.8852822555808,0.271626672183773,10.6222346737316,2.34870112521351e-26,1.55976123296322e-24
"YFL055W",823.457909242602,1.47980453093374,0.139430870624839,10.6131771558351,2.58796299728135e-26,1.7024401867965e-24
"YLR365W",81.4199898695858,3.230743528699,0.30543935192961,10.5773650588531,3.79480211924168e-26,2.47300515677311e-24
"YJL016W",5320.60931305509,0.87039184977267,0.0823759454480207,10.5660923833874,4.27956751981808e-26,2.76309484404551e-24
"YPL054W",1117.42316077824,1.50164940811141,0.142363214057614,10.5480156376892,5.18812311264015e-26,3.31897086829723e-24
"YDR136C",102.218557297866,2.77400887221081,0.263633471388764,10.5222180537165,6.82477260209789e-26,4.32628539585714e-24
"RME3",745.384315124449,1.37301525522011,0.130657804915266,10.5084824906597,7.89537301772705e-26,4.9598591038388e-24
"YKL103C",5027.64438197558,-1.67190576184504,0.159244549715068,-10.4989826329161,8.73160837133066e-26,5.43620581904364e-24
"snR46",14269.9096870844,1.69247238156168,0.161786602494321,10.4611405114406,1.30277966356212e-25,8.03918813629971e-24
"YBR297W",5669.02816065381,1.46541398385665,0.140510349583953,10.4292245247108,1.82370556666738e-25,1.11549990494488e-23
"YJR010W",3832.29084472627,1.30152146255286,0.124975786832168,10.4141889844686,2.13610428416704e-25,1.29522218899972e-23
"YGR018C",184.764049475652,2.95212223145752,0.28720825549669,10.2786816707347,8.79219664769458e-25,5.28517131244606e-23
"YHR202W",667.486624276323,-1.37973556096586,0.134468249621812,-10.2606791182776,1.05958907057185e-24,6.3149697342714e-23
"YPR194C",683.406489646283,2.60460745551878,0.254038808956122,10.2527935248218,1.14971774256201e-24,6.79405238888553e-23
"snR33",12691.2358129343,1.52393701002499,0.149140063658481,10.2181598468047,1.64432613314828e-24,9.63519842558232e-23
"YAL067C",302.765790111209,2.0139006480469,0.197259419543242,10.2094016737458,1.79971172183321e-24,1.04578248636192e-22
"YDR173C",1430.46144711539,1.00655261249477,0.098797654536181,10.1880213373503,2.24282506033114e-24,1.29249745005694e-22
"YAR071W",2250.42977004386,1.1529477832889,0.113337520989267,10.1726927960431,2.62548130724947e-24,1.50061320946316e-22
"YPR012W",133.951332903531,2.75271426728499,0.271494075714551,10.1391319867296,3.70375903556609e-24,2.09970014268312e-22
"YNL300W",1035.32213217454,-1.0021489624507,0.101048556929489,-9.91749900149478,3.49401340774956e-23,1.96481899130949e-21
"YGL109W",91.5204554126462,3.43327836072628,0.346932988768298,9.89608504199993,4.32890350383716e-23,2.41483553058052e-21
"YLR304C",36554.7980446937,-1.27335991330182,0.129032120700437,-9.8685498338671,5.6982431930825e-23,3.15348014169558e-21
"YJL067W",104.279325403722,3.00135793066017,0.3048091204967,9.84668019700107,7.08454360456263e-23,3.88980492556026e-21
"YKL071W",226.443053255957,-3.55431089807152,0.362479286505127,-9.80555587697352,1.06558663374555e-22,5.80494968524043e-21
"YOR186C-A",114.341389288266,2.86001255078161,0.292177734617718,9.78860539980441,1.26022026607652e-22,6.81202784135782e-21
"YER174C",1305.5055671931,-1.25470139512557,0.128228032260641,-9.78492278954432,1.30694998483576e-22,7.01027864943059e-21
"YPL113C",623.74684310609,-1.51729832783919,0.155620565900622,-9.74998592928981,1.84493840236741e-22,9.77396014590307e-21
"YAR031W",624.487279656299,-1.58921673467415,0.163001680855272,-9.74969537943113,1.85022621433989e-22,9.77396014590307e-21
"snR39B",1069.17572681466,2.67353286401352,0.274292470126061,9.74701515788896,1.89971732505682e-22,9.95994654708362e-21
"YLR092W",2879.76949236661,1.36529535833124,0.141346739399998,9.65919245202811,4.4939236746706e-22,2.33851714802076e-20
"snR57",2719.74383799223,2.14781296580758,0.222699144788964,9.64445987362412,5.18836044414918e-22,2.67988425015202e-20
"YIR035C",3210.33065201343,0.93835322469972,0.0974200744101208,9.63203149229206,5.85601093164349e-22,3.00249736958456e-20
"YDL048C",9131.5347513455,1.27785299768995,0.132686455122875,9.63062127559735,5.93694280383119e-22,3.02177388110328e-20
"YEL065W",13459.6284024922,-2.10982444694288,0.219119483993225,-9.62864829951918,6.05203178778001e-22,3.0580302649413e-20
"YLR297W",1444.02569054226,1.2087726179855,0.125774829587154,9.61060827474941,7.21216523233803e-22,3.6180164147549e-20
"YCR041W",61.2778739534837,4.42021932791294,0.460738047056032,9.59377971095881,8.49159474421271e-22,4.22942072509966e-20
"YAR050W",511.37474493641,1.26764993282914,0.132342620333229,9.57854642470649,9.84202849053018e-22,4.86726699747993e-20
"YDR285W",1153.30548422583,-0.935259100514289,0.0977959930370161,-9.56336830855933,1.13985245148589e-21,5.59731770719091e-20
